n,Dynamic Programming Memoization,,,,,,,,Dynamic Programming Tabulation,,,,,,,
,Computation 1,Retrieval 1,Computation 2,Retrieval 2,Computation 3,Retrieval 3,Average Computation,Average Retrieval,Computation 1,Retrieval 1,Computation 2,Retrieval 2,Computation 3,Retrieval 3,Average Computation,Average Retrieval
15100,13380041,3303711,13380451,3334348,13383488,3346548,13381326,3328202,15100000,19408950,15100000,19454000,15100000,19473001,15100000,19445317
15200,13508720,3341007,13468251,3354669,13479639,3372013,13485536,3355896,15200000,19542112,15200000,19581679,15200000,19603638,15200000,19575809
15300,13605730,3370311,13577141,3388064,13550076,3388357,13577649,3382244,15300000,19676344,15300000,19712035,15300000,19728213,15300000,19705530
15400,13706918,3404818,13663307,3407963,13614527,3400150,13661584,3404310,15400000,19812058,15400000,19834190,15400000,19855515,15400000,19833921
15500,13778128,3422277,13771277,3435953,13728984,3429073,13759463,3429101,15500000,19937724,15500000,19964473,15500000,19982952,15500000,19961716
15600,13877561,3446227,13868057,3461201,13822912,3455136,13856176,3454188,15600000,20067337,15600000,20097029,15600000,20115200,15600000,20093188
15700,13973835,3472548,13950572,3479556,13936482,3487863,13953629,3479989,15700000,20198097,15700000,20229495,15700000,20247225,15700000,20224939
15800,14065042,3499799,14046280,3510567,14054368,3525583,14055230,3511983,15800000,20326605,15800000,20361104,15800000,20378362,15800000,20355357
15900,14171706,3529628,14135864,3537195,14123809,3543616,14143793,3536813,15900000,20461741,15900000,20486206,15900000,20506652,15900000,20484866
16000,14246799,3550347,14230206,3560996,14202588,3560400,14226531,3557247,16000000,20590715,16000000,20613247,16000000,20637303,16000000,20613755
16100,14339902,3576074,14327781,3582476,14290254,3583048,14319312,3580532,16100000,20721599,16100000,20747230,16100000,20762676,16100000,20743835
16200,14437740,3602760,14416204,3609085,14390190,3608437,14414711,3606760,16200000,20852698,16200000,20878168,16200000,20890245,16200000,20873703
16300,14514421,3621711,14490966,3627113,14465927,3626113,14490438,3624979,16300000,20981478,16300000,21007459,16300000,21017113,16300000,21002016
16400,14610160,3644477,14568381,3644001,14560928,3647428,14579823,3645302,16400000,21108327,16400000,21133977,16400000,21148565,16400000,21130289
16500,14660753,3654811,14637131,3658619,14664965,3675477,14654283,3662969,16500000,21229976,16500000,21263383,16500000,21276941,16500000,21256766
16600,14760529,3677143,14733393,3681904,14748185,3698812,14747369,3685953,16600000,21356551,16600000,21390836,16600000,21403213,16600000,21383533
16700,14848414,3697818,14833773,3706450,14825845,3714971,14836010,3706413,16700000,21483618,16700000,21520743,16700000,21530994,16700000,21511785
16800,14953675,3723333,14901069,3722237,14919657,3737533,14924800,3727701,16800000,21612735,16800000,21650835,16800000,21659929,16800000,21641166
16900,15041218,3746972,15014244,3750977,15019359,3761480,15024940,3753143,16900000,21739809,16900000,21781095,16900000,21792742,16900000,21771215
17000,15159675,3779121,15123671,3782794,15099744,3784751,15127696,3782222,17000000,21872881,17000000,21909386,17000000,21921879,17000000,21901382
17100,15226545,3794511,15210613,3804143,15188542,3811419,15208566,3803357,17100000,22000636,17100000,22041824,17100000,22053460,17100000,22031973
17200,15314869,3818028,15323018,3842699,15259668,3825445,15299185,3828724,17200000,22131006,17200000,22176234,17200000,22179082,17200000,22162107
17300,15390699,3833700,15404749,3865256,15381384,3861602,15392277,3853519,17300000,22260478,17300000,22301963,17300000,22310896,17300000,22291112
17400,15496615,3861859,15506914,3893325,15454159,3876990,15485896,3877391,17400000,22388760,17400000,22430946,17400000,22438551,17400000,22419419
17500,15580584,3884669,15617188,3923766,15569843,3907741,15589205,3905392,17500000,22518196,17500000,22559627,17500000,22570402,17500000,22549408
17600,15671143,3906140,15670761,3937158,15683074,3940148,15674992,3927815,17600000,22650199,17600000,22683783,17600000,22700138,17600000,22678040
17700,15763995,3932553,15772016,3960872,15766773,3963505,15767594,3952310,17700000,22780934,17700000,22812545,17700000,22830174,17700000,22807884
17800,15871112,3963327,15858667,3981459,15852397,3987047,15860725,3977277,17800000,22911877,17800000,22939848,17800000,22964401,17800000,22938708
17900,15964300,3991731,15937307,3998765,15931003,4007415,15944203,3999303,17900000,23046613,17900000,23069936,17900000,23094621,17900000,23070390
18000,16049232,4012769,16037630,4022631,16007381,4023799,16031414,4019733,18000000,23174542,18000000,23196187,18000000,23222874,18000000,23197867
18100,16125747,4031232,16124072,4044316,16111216,4053860,16120345,4043136,18100000,23305616,18100000,23324936,18100000,23353338,18100000,23327963
18200,16205884,4049650,16221688,4071841,16202164,4077006,16209912,4066165,18200000,23433776,18200000,23457150,18200000,23482472,18200000,23457799
18300,16334845,4089177,16301901,4090044,16288827,4098685,16308524,4092635,18300000,23572181,18300000,23582151,18300000,23611297,18300000,23588543
18400,16401607,4109347,16403664,4117245,16364437,4115367,16389902,4113986,18400000,23699834,18400000,23710427,18400000,23740538,18400000,23716933
18500,16494184,4133996,16492044,4135897,16449506,4134239,16478578,4134710,18500000,23828255,18500000,23839220,18500000,23869179,18500000,23845551
18600,16565876,4148168,16606515,4169833,16518240,4148575,16563543,4155525,18600000,23956048,18600000,23971003,18600000,23997319,18600000,23974790
18700,16648097,4166413,16687843,4193600,16637740,4181741,16657893,4180584,18700000,24081438,18700000,24102136,18700000,24125205,18700000,24102926
18800,16752590,4194500,16748012,4205054,16732613,4207038,16744405,4202197,18800000,24214019,18800000,24226398,18800000,24255168,18800000,24231861
18900,16828513,4211538,16824785,4221788,16854831,4242863,16836043,4225396,18900000,24340157,18900000,24353096,18900000,24384723,18900000,24359325
19000,16922485,4235272,16897309,4236379,16910784,4257651,16910192,4243100,19000000,24469963,19000000,24481472,19000000,24510831,19000000,24487422
19100,17002959,4255631,16999773,4260237,17033340,4292018,17012024,4269295,19100000,24595568,19100000,24609830,19100000,24644310,19100000,24616569
19200,17114934,4282875,17079376,4277846,17127646,4317069,17107318,4292596,19200000,24723252,19200000,24732736,19200000,24770187,19200000,24742058
19300,17198408,4300833,17187318,4302258,17217439,4341214,17201055,4314768,19300000,24851329,19300000,24861538,19300000,24898488,19300000,24870451
19400,17248971,4312082,17281329,4329526,17292796,4357266,17274365,4332958,19400000,24976818,19400000,24989844,19400000,25024996,19400000,24997219
19500,17330132,4326004,17400094,4361158,17390748,4381007,17373658,4356056,19500000,25102651,19500000,25124535,19500000,25153945,19500000,25127043
19600,17401145,4336778,17469989,4380598,17478074,4405118,17449736,4374164,19600000,25230663,19600000,25254858,19600000,25284153,19600000,25256558
19700,17497890,4356832,17570227,4410806,17575114,4430952,17547743,4399530,19700000,25358911,19700000,25385761,19700000,25414868,19700000,25386513
19800,17616816,4389389,17670805,4436691,17658067,4454781,17648562,4426953,19800000,25487903,19800000,25515142,19800000,25545692,19800000,25516245
19900,17703696,4414289,17751038,4457151,17750866,4477587,17735200,4449675,19900000,25615340,19900000,25638063,19900000,25675244,19900000,25642882
